体温,室温,アンケート,適温
20.4,15.5,1,16.5
20.6,15.8,1,16.8
20.8,16.1,1,17.1
20.8,16.2,1,17.2
21.0,16.4,1,17.4
21.2,16.7,1,17.7
21.4,16.9,1,17.9
21.7,17.2,1,18.2
21.9,17.4,1,18.4
22.0,17.6,1,18.6
22.3,17.9,1,18.9
22.5,18.1,1,19.1
22.5,18.1,1,19.1
22.7,18.3,1,19.3
22.8,18.4,1,19.4
22.9,18.6,1,19.6
23.0,18.7,1,19.7
23.4,19.2,1,20.2
23.6,19.4,1,20.4
23.8,19.6,1,20.6
23.9,19.8,1,20.8
24.3,20.2,0,20.2
24.2,20.1,0,20.1
24.0,19.9,1,20.9
23.9,19.8,1,20.8
25.5,21.6,0,21.6
25.0,21.1,0,21.1
25.2,21.3,0,21.3
25.4,21.5,0,21.5
25.5,21.6,0,21.6
25.5,21.7,0,21.7
25.3,21.4,0,21.4
25.0,21.1,0,21.1
26.2,22.5,0,22.5
26.7,23.1,-1,22.1
26.6,23.0,-1,22.0
22.8,22.8,0,22.8
22.8,22.8,0,22.8
22.8,22.8,0,22.8
22.8,22.8,0,22.8
22.8,22.8,0,22.8
23.3,23.3,-1,22.3
23.7,23.7,-1,22.7
23.9,23.9,-1,22.9
24.2,24.2,-1,23.2
23.7,23.7,-1,22.7
23.4,23.4,-1,22.4
23.5,23.5,-1,22.5
27.2,23.7,-1,22.7
27.4,23.9,-1,22.9
27.6,24.1,-1,23.1
27.5,24.0,-1,23.0
27.4,23.9,-1,22.9
27.4,23.9,-1,22.9
27.3,23.8,-1,22.8
27.2,23.6,-1,22.6
27.0,23.4,-1,22.4
27.0,23.4,-1,22.4
26.9,23.3,-1,22.3
26.8,23.2,-1,22.2
26.6,23.0,-1,22.0
26.6,23.0,-1,22.0
26.7,23.1,-1,22.1
26.7,23.1,-1,22.1
26.7,23.1,-1,22.1
27.2,23.6,-1,22.6
27.5,24.0,-1,23.0
27.2,23.7,-1,22.7
27.1,23.5,-1,22.5
27.8,24.3,-1,23.3
28.3,25.0,-2,23.0
28.2,24.8,-2,22.8
27.9,24.5,-2,22.5
27.6,24.1,-1,23.1
27.3,23.8,-1,22.8
27.4,23.9,-1,22.9
27.5,24.0,-1,23.0
27.7,24.2,-1,23.2
27.8,24.4,-1,23.4
27.8,24.4,-1,23.4
27.9,24.5,-2,22.5
27.8,24.4,-1,23.4
27.8,24.4,-1,23.4
27.7,24.2,-1,23.2
27.5,24.0,-1,23.0
27.6,24.1,-1,23.1
27.8,24.3,-1,23.3
27.7,24.2,-1,23.2
27.5,24.0,-1,23.0
27.5,24.0,-1,23.0
27.5,24.0,-1,23.0
27.5,24.0,-1,23.0
27.4,23.9,-1,22.9
27.4,23.9,-1,22.9
27.3,23.8,-1,22.8
27.1,23.5,-1,22.5
26.9,23.3,-1,22.3
26.9,23.3,-1,22.3
26.9,23.3,-1,22.3
27.0,23.4,-1,22.4
27.0,23.4,-1,22.4
26.9,23.3,-1,22.3
26.8,23.2,-1,22.2
26.8,23.2,-1,22.2
26.8,23.2,-1,22.2
26.6,23.0,-1,22.0
26.6,22.9,-1,21.9
26.6,23.0,-1,22.0
26.8,23.2,-1,22.2
26.7,23.1,-1,22.1
26.7,23.1,-1,22.1
26.8,23.2,-1,22.2
26.8,23.2,-1,22.2
26.7,23.1,-1,22.1
26.6,23.0,-1,22.0
26.6,22.9,0,22.9
26.5,22.8,0,22.8
26.6,23.0,-1,22.0
26.8,23.2,-1,22.2
26.8,23.2,-1,22.2
26.8,23.2,-1,22.2
26.7,23.1,-1,22.1
26.6,23.0,-1,22.0
26.5,22.8,0,22.8
26.4,22.7,0,22.7
26.4,22.7,0,22.7
26.3,22.6,0,22.6
26.3,22.6,0,22.6
26.2,22.5,0,22.5
26.1,22.3,0,22.3
25.9,22.1,0,22.1
25.9,22.1,0,22.1
26.0,22.2,0,22.2
26.0,22.2,0,22.2
26.0,22.2,0,22.2
26.0,22.2,0,22.2
26.0,22.2,0,22.2
25.8,22.0,0,22.0
25.5,21.7,0,21.7
25.8,22.0,0,22.0
25.8,22.2,0,22.2
25.8,22.0,0,22.0
25.5,21.7,0,21.7
25.5,21.7,0,21.7
25.5,21.7,0,21.7
25.5,21.7,0,21.7
25.5,21.7,0,21.7
25.5,21.6,0,21.6
25.4,21.5,0,21.5
25.3,21.4,0,21.4
25.2,21.3,0,21.3
25.3,21.4,0,21.4
25.5,21.6,0,21.6
25.4,21.5,0,21.5
25.4,21.5,0,21.5
25.4,21.5,0,21.5
25.5,21.6,0,21.6
25.4,21.5,0,21.5
25.4,21.5,0,21.5
25.5,21.6,0,21.6
25.5,21.7,0,21.7
25.5,21.6,0,21.6
25.5,21.6,0,21.6
25.4,21.5,0,21.5
25.4,21.5,0,21.5
25.2,21.3,0,21.3
25.1,21.2,0,21.2
25.1,21.2,0,21.2
25.1,21.2,0,21.2
25.1,21.2,0,21.2
25.1,21.2,0,21.2
25.2,21.3,0,21.3
25.2,21.2,0,21.2
25.2,21.2,0,21.2
25.0,21.1,0,21.1
24.9,20.9,0,20.9
24.7,20.7,0,20.7
24.9,20.9,0,20.9
25.0,21.1,0,21.1
25.0,21.1,0,21.1
24.9,21.0,0,21.0
24.9,20.9,0,20.9
24.9,20.9,0,20.9
24.9,20.9,0,20.9
24.9,20.9,0,20.9
24.8,20.8,0,20.8
24.8,20.8,0,20.8
24.8,20.8,0,20.8
24.8,20.8,0,20.8
24.9,20.9,0,20.9
24.9,21.0,0,21.0
24.0,19.9,1,20.9
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.9,18.6,1,19.6
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.8,1,19.8
23.1,18.9,1,19.9
23.1,18.9,1,19.9
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.4,19.2,1,20.2
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.7,19.5,1,20.5
23.7,19.6,1,20.6
23.8,19.7,1,20.7
23.7,19.6,1,20.6
23.7,19.5,1,20.5
23.7,19.5,1,20.5
23.8,19.6,1,20.6
23.8,19.6,1,20.6
23.8,19.6,1,20.6
23.8,19.6,1,20.6
23.8,19.6,1,20.6
23.8,19.7,1,20.7
23.9,19.8,1,20.8
23.9,19.8,1,20.8
24.0,19.9,1,20.9
23.9,19.8,1,20.8
23.9,19.8,1,20.8
23.8,19.7,1,20.7
23.8,19.6,1,20.6
23.8,19.6,1,20.6
23.7,19.5,1,20.5
23.8,19.6,1,20.6
23.8,19.7,1,20.7
23.8,19.7,1,20.7
23.9,19.8,1,20.8
24.1,20.0,0,20.0
24.2,20.1,0,20.1
24.2,20.1,0,20.1
24.2,20.1,0,20.1
24.0,19.9,1,20.9
23.8,19.7,1,20.7
23.5,19.3,1,20.3
23.1,18.9,1,19.9
23.0,18.7,1,19.7
22.9,18.5,1,19.5
22.9,18.6,1,19.6
22.9,18.6,1,19.6
22.9,18.6,1,19.6
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.8,18.4,1,19.4
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.9,18.5,1,19.5
22.8,18.4,1,19.4
22.9,18.6,1,19.6
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
22.9,18.6,1,19.6
22.9,18.6,1,19.6
22.9,18.6,1,19.6
22.9,18.6,1,19.6
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.1,18.8,1,19.8
23.1,18.9,1,19.9
23.3,19.1,1,20.1
23.3,19.1,1,20.1
23.4,19.2,1,20.2
23.4,19.2,1,20.2
23.3,19.1,1,20.1
23.3,19.1,1,20.1
23.4,19.2,1,20.2
23.4,19.2,1,20.2
23.5,19.3,1,20.3
23.5,19.3,1,20.3
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.5,19.3,1,20.3
23.5,19.3,1,20.3
23.3,19.2,1,20.2
23.3,19.1,1,20.1
23.3,19.1,1,20.1
23.2,19.0,1,20.0
23.1,18.9,1,19.9
23.4,19.2,1,20.2
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.7,19.5,1,20.5
23.7,19.5,1,20.5
23.6,19.4,1,20.4
23.5,19.3,1,20.3
23.4,19.2,1,20.2
23.5,19.3,1,20.3
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.6,19.4,1,20.4
23.5,19.3,1,20.3
23.5,19.3,1,20.3
23.6,19.4,1,20.4
23.5,19.3,1,20.3
23.5,19.3,1,20.3
23.6,19.4,1,20.4
23.8,19.6,1,20.6
23.7,19.5,1,20.5
23.6,19.4,1,20.4
23.5,19.3,1,20.3
23.4,19.2,1,20.2
23.3,19.1,1,20.1
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.2,19.0,1,20.0
23.2,19.0,1,20.2
